NU_ANO_CENSO,NO_IES,QT_DOC_TOTAL
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",795
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",811
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",407
2020,UNIVERSIDADE DO ESTADO DO AMAZONAS,1031
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",299
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",554
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",798
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",495
2020,CENTRO UNIVERSITÁRIO DE PATOS,368
2020,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,267
2020,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,254
2020,FACULDADE PERNAMBUCANA DE SAÚDE,306
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,1231
2020,UNIVERSIDADE DE RIO VERDE,409
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,591
2020,CENTRO UNIVERSITÁRIO SENAC,476
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",619
2020,Centro Universitário FIP-MOC,262
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",485
2020,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,1026
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,682
2020,CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM,269
2020,CENTRO UNIVERSITÁRIO TIRADENTES,600
2020,CENTRO UNIVERSITÁRIO BRASILEIRO,308
2020,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,340
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",490
2020,FACULDADE ANHANGÜERA DE CAMPINAS,268
2020,FACULDADE PITÁGORAS DE SÃO LUIZ,274
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,815
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",697
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,957
2020,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,390
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",425
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",367
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",801
2020,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,471
2020,Universidade Estadual do Norte do Paraná,457
2020,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,258
2020,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,480
2020,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,825
2020,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,376
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",413
2020,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,490
2020,Universidade Estadual do Paraná,947
2020,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,383
2020,UNIVERSIDADE FEDERAL DO CARIRI,355
2020,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,336
2020,UNIVERSIDADE FEDERAL DE CATALÃO,345
2020,UNIVERSIDADE FEDERAL DE JATAÍ,386
2020,Universidade Federal de Rondonópolis,359
